,model_type,parameters,duration,accuracy,precision,recall,F1,Average Precision Score,AUC ROC Score,"Precision, Recall and F1 at 5","Precision, Recall and F1 at 10","Precision, Recall and F1 at 20"
30,Tree,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 10}",0.5914199352264404,0.9464787701317716,0.944640115596496,0.9812996435049096,0.9626209794929214,0.9846432672822494,0.9752816018005526,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
31,Tree,"{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 2}",0.596405029296875,0.9459516837481698,0.9445822329775376,0.9805699751912773,0.9622397365015881,0.9832312781756692,0.9735869576387718,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
32,Tree,"{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 5}",0.6033837795257568,0.9460322108345535,0.9446508545377864,0.9806116705234849,0.9622954173486088,0.9839431603785848,0.9744465148942835,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
33,Tree,"{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 10}",0.5854339599609375,0.9464787701317716,0.944640115596496,0.9812996435049096,0.9626209794929214,0.9846479576203754,0.9752916765149152,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
34,Tree,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 2}",0.304187536239624,0.8350366032210834,0.9562520201894626,0.8017908145183147,0.8722359558206518,0.9059161359328738,0.8576283045197681,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
35,Tree,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 5}",0.30921006202697754,0.8350366032210834,0.9562520201894626,0.8017908145183147,0.8722359558206518,0.9059161359328738,0.8576283045197681,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
36,Tree,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 10}",0.3031883239746094,0.8350366032210834,0.9562520201894626,0.8017908145183147,0.8722359558206518,0.9059161359328738,0.8576283045197681,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
37,Tree,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2}",0.47971177101135254,0.9348169838945827,0.9255079889699411,0.9865949506952697,0.9550756811301715,0.982038572358953,0.9691870223599427,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
38,Tree,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5}",0.45183277130126953,0.9348169838945827,0.9255079889699411,0.9865949506952697,0.9550756811301715,0.982038572358953,0.9691870223599427,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
39,Tree,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10}",0.455780029296875,0.9348169838945827,0.9255079889699411,0.9865949506952697,0.9550756811301715,0.982038572358953,0.9691870223599427,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
40,Tree,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",0.5545523166656494,0.9473499267935578,0.944109698728856,0.9832384764525611,0.9632768938542922,0.9879544694349309,0.9781815109508469,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
41,Tree,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",0.5565135478973389,0.9473645680819912,0.9441197077369633,0.9832489002856131,0.9632871060640101,0.9880068088491153,0.9782386695239115,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
